no,date,day_name
1,01/02/12,New Year Day
2,01/16/12,Martin Luther King Jr. Day
3,02/20/12,Presidents Day (Washingtons Birthday)
4,05/28/12,Memorial Day
5,07/04/12,Independence Day
6,09/03/12,Labor Day
7,10/08/12,Columbus Day
8,11/12/12,Veterans Day
9,11/22/12,Thanksgiving Day
10,12/25/12,Christmas Day
11,01/01/13,New Year Day
12,01/21/13,Martin Luther King Jr. Day
13,02/18/13,Presidents Day (Washingtons Birthday)
14,05/27/13,Memorial Day
15,07/04/13,Independence Day
16,09/02/13,Labor Day
17,10/14/13,Columbus Day
18,11/11/13,Veterans Day
19,11/28/13,Thanksgiving Day
20,12/25/13,Christmas Day
21,01/01/14,New Year Day
22,01/20/14,Martin Luther King Jr. Day
23,02/17/14,Presidents Day (Washingtons Birthday)
24,05/26/14,Memorial Day
25,07/04/14,Independence Day
26,09/01/14,Labor Day
27,10/13/14,Columbus Day
28,11/11/14,Veterans Day
29,11/27/14,Thanksgiving Day
30,12/25/14,Christmas Day
31,01/01/15,New Year Day
32,01/19/15,Martin Luther King Jr. Day
33,02/16/15,Presidents Day (Washingtons Birthday)
34,05/25/15,Memorial Day
35,07/03/15,Independence Day
36,09/07/15,Labor Day
37,10/12/15,Columbus Day
38,11/11/15,Veterans Day
39,11/26/15,Thanksgiving Day
40,12/25/15,Christmas Day
41,01/01/16,New Year Day
42,01/18/16,Martin Luther King Jr. Day
43,02/15/16,Presidents Day (Washingtons Birthday)
44,05/30/16,Memorial Day
45,07/04/16,Independence Day
46,09/05/16,Labor Day
47,10/10/16,Columbus Day
48,11/11/16,Veterans Day
49,11/24/16,Thanksgiving Day
50,12/25/16,Christmas Day
51,01/02/17,New Year Day
52,01/16/17,Martin Luther King Jr. Day
53,02/20/17,Presidents Day (Washingtons Birthday)
54,05/29/17,Memorial Day
55,07/04/17,Independence Day
56,09/04/17,Labor Day
57,10/09/17,Columbus Day
58,11/10/17,Veterans Day
59,11/23/17,Thanksgiving Day
60,12/25/17,Christmas Day
61,01/01/18,New Year Day
62,01/15/18,Martin Luther King Jr. Day
63,02/19/18,Presidents Day (Washingtons Birthday)
64,05/28/18,Memorial Day
65,07/04/18,Independence Day
66,09/03/18,Labor Day
67,10/08/18,Columbus Day
68,11/12/18,Veterans Day
69,11/22/18,Thanksgiving Day
70,12/25/18,Christmas Day
71,01/01/19,New Year Day
72,01/21/19,Martin Luther King Jr. Day
73,02/18/19,Presidents Day (Washingtons Birthday)
74,05/27/19,Memorial Day
75,07/04/19,Independence Day
76,09/02/19,Labor Day
77,10/14/19,Columbus Day
78,11/11/19,Veterans Day
79,11/28/19,Thanksgiving Day
80,12/25/19,Christmas Day
81,01/01/20,New Year Day
82,01/20/20,Martin Luther King Jr. Day
83,02/17/20,Presidents Day (Washingtons Birthday)
84,05/25/20,Memorial Day
85,07/03/20,Independence Day
86,09/07/20,Labor Day
87,10/12/20,Columbus Day
88,11/11/20,Veterans Day
89,11/26/20,Thanksgiving Day
90,12/25/20,Christmas Day
